hour,day_shift,week_day,weekend,COZINHA_SENSOR_PRESENCA-021,COZINHA_CAFETEIRA-020,COZINHA_LAMPADA-019,switch,switch_Y
7,1,3,0,OFF,OFF,OFF,OFF,ON
7,1,3,0,OFF,OFF,OFF,OFF,ON
7,1,3,0,OFF,OFF,OFF,OFF,ON
7,1,3,0,OFF,OFF,OFF,OFF,ON
7,1,3,0,ON,OFF,OFF,OFF,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,ON
7,1,3,0,ON,ON,OFF,ON,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,ON,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
7,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
8,1,3,0,OFF,OFF,OFF,OFF,OFF
